,yr,mo,date,st,mag,slat,slon
57000,2015,4,2015-04-07,IN,1,38.19,-86.61
57001,2015,4,2015-04-07,KY,0,37.66,-84.29
57002,2015,4,2015-04-07,KY,1,37.66,-84.18
57003,2015,4,2015-04-07,KS,0,37.47,-95.62
57004,2015,4,2015-04-07,MO,0,38.24,-94.51
57005,2015,4,2015-04-07,KS,0,37.34,-95.59
57006,2015,4,2015-04-08,MO,1,37.94,-90.8
57007,2015,4,2015-04-08,KS,0,37.12,-99.17
57008,2015,4,2015-04-08,KS,0,37.19,-98.95
57009,2015,4,2015-04-08,KS,0,37.26,-98.8
57010,2015,4,2015-04-08,KS,0,37.71,-97.69
57011,2015,4,2015-04-08,KS,0,37.74,-98.18
57012,2015,4,2015-04-08,OK,0,35.65,-99.31
57013,2015,4,2015-04-09,IL,0,40.87,-89.62
57014,2015,4,2015-04-09,IA,1,41.64,-90.9
57015,2015,4,2015-04-09,MI,0,42.06,-84.5
57016,2015,4,2015-04-09,IA,1,41.76,-90.62
57017,2015,4,2015-04-09,IL,1,41.92,-90.08
57018,2015,4,2015-04-09,IL,0,42.19,-88.95
57019,2015,4,2015-04-09,TX,2,32.09,-95.23
57020,2015,4,2015-04-09,IL,4,41.85,-89.29
57021,2015,4,2015-04-09,IL,0,42.06,-88.98
57022,2015,4,2015-04-09,TX,1,32.52,-94.73
57023,2015,4,2015-04-09,IL,1,42.13,-88.88
57024,2015,4,2015-04-09,TX,1,32.55,-94.67
57025,2015,4,2015-04-09,IL,0,42.2,-88.85
57026,2015,4,2015-04-09,IL,1,42.19,-88.77
57027,2015,4,2015-04-09,IL,0,39.55,-89.44
57028,2015,4,2015-04-09,IL,1,42.4,-88.53
57029,2015,4,2015-04-09,OK,0,35.68,-99.24
57030,2015,4,2015-04-09,MO,0,37.53,-89.81
57031,2015,4,2015-04-09,MO,0,37.38,-89.72
57032,2015,4,2015-04-11,TX,0,35.54,-101.69
57033,2015,4,2015-04-11,KS,0,37.33,-101.44
