,yr,mo,date,st,mag,slat,slon
0,1957,4,1957-04-24,TX,2,31.95,-96.68
1,1957,4,1957-04-24,TX,0,33.73,-96.67
2,1957,4,1957-04-24,TX,0,30.9,-97.47
3,1957,4,1957-04-24,TX,2,31.63,-96.27
4,1957,4,1957-04-24,TX,0,31.72,-96.03
5,1957,4,1957-04-24,TX,1,31.67,-96.28
6,1957,4,1957-04-25,MO,1,37.55,-90.3
7,1957,4,1957-04-25,IL,2,38.45,-89.97
8,1957,4,1957-04-25,IA,0,41.1,-95.0
9,1957,4,1957-04-25,MI,1,43.35,-82.88
10,1957,4,1957-04-25,TX,0,32.32,-99.87
11,1957,4,1957-04-25,TX,0,33.73,-98.5
12,1957,4,1957-04-25,NY,1,42.9,-78.7
13,1957,4,1957-04-25,NE,4,40.58,-97.57
14,1957,4,1957-04-25,TX,1,33.8,-97.93
15,1957,4,1957-04-25,NE,3,40.37,-97.95
16,1957,4,1957-04-25,OK,0,35.95,-96.07
17,1957,4,1957-04-25,OK,2,35.08,-96.38
18,1957,4,1957-04-25,OK,1,35.43,-96.27
19,1957,4,1957-04-25,OK,1,36.3,-95.67
20,1957,4,1957-04-25,AR,3,35.8,-90.7
21,1957,4,1957-04-26,TX,0,31.2,-101.45
22,1957,4,1957-04-26,TX,2,29.68,-97.65
23,1957,4,1957-04-26,TX,2,30.02,-97.17
24,1957,4,1957-04-26,TX,3,32.38,-94.9
25,1957,4,1957-04-26,TX,2,32.35,-95.32
26,1957,4,1957-04-26,TX,3,32.48,-94.72
27,1957,4,1957-04-26,TX,2,32.45,-94.73
28,1957,4,1957-04-26,TX,2,32.73,-94.95
29,1957,4,1957-04-26,IN,1,41.15,-87.12
30,1957,4,1957-04-26,IL,1,40.35,-88.75
31,1957,4,1957-04-26,TX,0,32.52,-98.67
32,1957,4,1957-04-26,IN,0,41.15,-86.33
33,1957,4,1957-04-26,IN,1,40.87,-86.08
34,1957,4,1957-04-26,MO,0,37.6,-94.28
35,1957,4,1957-04-26,IN,2,39.78,-85.77
36,1957,4,1957-04-27,MI,0,42.7,-83.3
37,1957,4,1957-04-27,LA,2,30.17,-93.37
38,1957,4,1957-04-28,PA,1,40.07,-76.57
39,1957,4,1957-04-29,TX,1,26.48,-97.8
40,1957,4,1957-04-29,AZ,0,36.85,-109.83
41,1957,4,1957-04-30,TX,1,30.1,-93.73
42,1957,4,1957-04-30,WA,2,46.6,-120.5
43,1957,5,1957-05-01,ND,1,47.27,-100.3
44,1957,5,1957-05-01,ND,0,47.3,-100.2
45,1957,5,1957-05-02,MS,0,30.75,-89.62
46,1957,5,1957-05-02,MS,1,31.33,-89.28
47,1957,5,1957-05-03,GA,1,31.25,-81.5
48,1957,5,1957-05-06,WA,0,47.45,-118.25
49,1957,5,1957-05-06,WA,2,47.48,-117.2
50,1957,5,1957-05-08,TX,0,32.5,-100.13
51,1957,5,1957-05-09,MO,2,38.8,-90.38
52,1957,5,1957-05-09,NE,2,40.53,-96.3
53,1957,5,1957-05-09,KS,1,38.35,-98.27
54,1957,5,1957-05-09,KS,0,38.4,-97.97
55,1957,5,1957-05-09,IL,1,40.57,-90.95
56,1957,5,1957-05-10,OK,0,34.33,-99.08
57,1957,5,1957-05-10,MA,1,42.7,-72.6
58,1957,5,1957-05-10,MA,1,42.7,-72.6
59,1957,5,1957-05-10,NM,2,36.68,-108.22
60,1957,5,1957-05-10,AL,1,31.37,-85.3
61,1957,5,1957-05-11,AR,2,35.32,-93.52
62,1957,5,1957-05-11,IN,1,41.17,-85.03
63,1957,5,1957-05-11,TX,1,35.67,-102.35
64,1957,5,1957-05-12,TX,2,31.6,-97.47
65,1957,5,1957-05-12,OK,0,34.92,-98.6
66,1957,5,1957-05-13,AR,2,33.67,-94.12
67,1957,5,1957-05-13,AR,2,33.88,-93.92
68,1957,5,1957-05-13,IA,1,41.0,-91.55
69,1957,5,1957-05-13,IL,1,39.8,-89.7
70,1957,5,1957-05-13,AR,2,34.03,-93.52
71,1957,5,1957-05-13,KS,0,39.22,-100.85
72,1957,5,1957-05-13,KS,0,39.22,-100.85
73,1957,5,1957-05-13,TX,1,32.5,-94.3
74,1957,5,1957-05-13,AR,3,34.22,-93.0
75,1957,5,1957-05-13,KS,0,39.37,-100.07
